date,price
1997-01-06,3.79
1997-01-13,4.19
1997-01-20,2.98
1997-01-27,2.91
1997-02-03,2.53
1997-02-10,2.3
1997-02-17,1.91
1997-02-24,1.82
1997-03-03,1.86
1997-03-10,1.96
1997-03-17,1.91
1997-03-24,1.84
1997-03-31,1.88
1997-04-07,1.98
1997-04-14,2.04
1997-04-21,2.14
1997-04-28,2.15
1997-05-05,2.29
1997-05-12,2.22
1997-05-19,2.22
1997-05-26,2.28
1997-06-02,2.17
1997-06-09,2.16
1997-06-16,2.22
1997-06-23,2.27
1997-06-30,2.15
1997-07-07,2.15
1997-07-14,2.24
1997-07-21,2.2
1997-07-28,2.22
1997-08-04,2.37
1997-08-11,2.53
1997-08-18,2.54
1997-08-25,2.58
1997-09-01,2.77
1997-09-08,2.76
1997-09-15,2.85
1997-09-22,3.08
1997-09-29,3
1997-10-06,2.83
1997-10-13,2.89
1997-10-20,3.21
1997-10-27,3.42
1997-11-03,3.16
1997-11-10,3.25
1997-11-17,2.89
1997-11-24,2.55
1997-12-01,2.51
1997-12-08,2.34
1997-12-15,2.34
1997-12-22,2.21
1997-12-29,2.26
1998-01-05,2.11
1998-01-12,2.05
1998-01-19,2.11
1998-01-26,2.08
1998-02-02,2.28
1998-02-09,2.21
1998-02-16,2.2
1998-02-23,2.22
1998-03-02,2.18
1998-03-09,2.22
1998-03-16,2.23
1998-03-23,2.3
1998-03-30,2.41
1998-04-06,2.57
1998-04-13,2.46
1998-04-20,2.4
1998-04-27,2.23
1998-05-04,2.14
1998-05-11,2.2
1998-05-18,2.13
1998-05-25,2.09
1998-06-01,2.1
1998-06-08,2
1998-06-15,2.11
1998-06-22,2.38
1998-06-29,2.39
1998-07-06,2.36
1998-07-13,2.21
1998-07-20,2.05
1998-07-27,1.95
1998-08-03,1.86
1998-08-10,1.85
1998-08-17,1.93
1998-08-24,1.81
1998-08-31,1.72
1998-09-07,1.83
1998-09-14,2.07
1998-09-21,2.24
1998-09-28,2.2
1998-10-05,1.99
1998-10-12,1.73
